                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3207,                 3.5352,                 2.2313,                0.02215,                0.52315,                0.13824,                 0.0426,                 2.0189,                 3.7406,                 1.9787,             0.00035975,             0.00035975,             0.00035975
                      2,                 2.1338,                 2.6598,                 1.9976,                0.52229,                0.16827,                 0.1607,                0.05107,                 2.1993,                 3.3022,                 2.1863,              0.0006819,              0.0006819,              0.0006819
                      3,                 2.0413,                  2.443,                 1.9194,                0.23302,                0.31891,                 0.2253,                0.07154,                 2.2633,                 3.1627,                 2.3233,             0.00095516,             0.00095516,             0.00095516
                      4,                 2.0071,                 2.2642,                 1.8989,                0.28637,                 0.2865,                0.21767,                 0.0638,                 2.1524,                 2.7334,                 2.0692,             0.00089102,             0.00089102,             0.00089102
                      5,                 1.9713,                  2.208,                 1.8732,                0.62374,                0.38034,                 0.3295,                0.10882,                 2.0575,                 2.3466,                 2.0437,              0.0008177,              0.0008177,              0.0008177
                      6,                 2.0285,                 2.2474,                 1.9833,                0.61339,                0.54967,                0.57735,                0.21888,                 2.0144,                 2.3467,                 1.9792,             0.00074437,             0.00074437,             0.00074437
                      7,                 1.9729,                 2.1477,                   1.98,                0.65014,                0.60623,                0.56573,                0.23854,                  1.964,                 2.2675,                  1.967,             0.00067104,             0.00067104,             0.00067104
                      8,                 1.9678,                 2.0349,                 1.9329,                 0.5769,                0.62028,                0.57642,                0.22944,                 1.9655,                 2.2693,                 1.8924,             0.00059772,             0.00059772,             0.00059772
                      9,                 1.8881,                 1.9403,                 1.8822,                0.68173,                0.61328,                0.63314,                0.29331,                 1.9064,                 2.0846,                  1.888,             0.00052439,             0.00052439,             0.00052439
                     10,                 1.8583,                 1.8426,                 1.8726,                0.72695,                 0.6558,                0.68841,                0.30506,                 1.9394,                 1.9189,                 1.8815,             0.00045107,             0.00045107,             0.00045107
                     11,                 1.8446,                 1.7937,                 1.8437,                0.71474,                0.68795,                0.70063,                 0.3048,                 1.9316,                 1.8586,                 1.8839,             0.00037774,             0.00037774,             0.00037774
                     12,                 1.8213,                 1.7507,                 1.8242,                0.81783,                0.71368,                0.76968,                0.36207,                 1.8711,                 1.7717,                 1.8603,             0.00030441,             0.00030441,             0.00030441
                     13,                 1.7942,                 1.6665,                 1.7885,                0.76843,                0.72825,                0.75024,                  0.339,                 1.8766,                  1.691,                 1.8243,             0.00023109,             0.00023109,             0.00023109
                     14,                 1.7808,                  1.624,                 1.7751,                0.75622,                0.75433,                0.77628,                0.36369,                 1.8513,                 1.6266,                 1.7944,             0.00015776,             0.00015776,             0.00015776
                     15,                 1.7361,                  1.599,                 1.7499,                0.79283,                0.73718,                0.77392,                0.35196,                 1.8599,                 1.6365,                 1.8006,             8.4436e-05,             8.4436e-05,             8.4436e-05
